#	Every constant the card is known or believed to compare against, and whether it
#	has been looked for in the ECP5 gateware.
#	Search method and its positive-control failure: docs/fpga-gateware.md sections 6.2/6.3.
#	The search covered LUT4 INITs (corrected for constant-tied inputs), CCU2 carry
#	chains, one-hot decoders, and the 512x36 microcode BRAM, in all five vendor images.
#
constant	where it is used	found_in_gateware	evidence / note	confidence
0x014C (SM16169SH family id)	basic pack +0xE7..0xE8 BE	NOT FOUND	no 8- or 16-bit constant comparator; not an immediate in the microcode ROM	HIGH that it was searched; NOT RESOLVED whether it is compared
0x0214 (SM16269S id)	basic pack +0xE7..0xE8 BE	NOT FOUND	same sweep	HIGH searched / NOT RESOLVED
0x0187, 0x0215, 0x00DE, 0x00FD, 0x013C	other chip ids	NOT FOUND	same sweep	HIGH searched
0xFE (chip-id escape)	basic pack +0x1B	NOT FOUND	two cones have the 7x1+1x0 literal shape but their leaves are scattered control signals, not a byte register	HIGH searched
0xA8 (basic-pack marker)	basic pack body +0x00	NEVER SEARCHED	-	-
0x0107 / 0x0700 / 0x0805 / 0x55xx / 0x0Axx / 0x0600 / 0x0500 etherframe types	packet dispatch	NOT FOUND	no 8-bit constant comparator against ANY Ethernet header value exists in the design - this is the POSITIVE CONTROL, and it failed	HIGH
0xD5 (Ethernet SFD)	MAC receive	NOT FOUND	same	HIGH
0x08 0x88 (pixel-row magic)	pixel row frame offsets 19..20	NEVER SEARCHED	-	-
0x11:22:33:44:55:66 (card MAC)	frame filtering	NOT FOUND	covered by the "no Ethernet constants" sweep	MEDIUM
CRC-32 poly 0xEDB88320 / basic-pack CRC	pack integrity	NEVER SEARCHED	the pack CRC may not even be checked card-side	-
0x41111043 (ECP5 IDCODE)	bitstream VERIFY_ID	FOUND	present in the bitstream command stream at file offset 0x162; not fabric logic	HIGH
Lattice bitstream magic BD B3 / 0x8005 CRC-16	config load	FOUND	bitstream framing, hard IP not fabric	HIGH
#
#	CONCLUSION (docs/fpga-gateware.md 6.3): because constants that MUST be compared
#	(ethertypes, SFD) are as invisible as the chip id, the right reading is
#	"this design does not build constant comparisons out of LUT4s", NOT "the chip id
#	is not compared". Surviving hypothesis: a BRAM / LUT-RAM register file loaded by
#	the packet parser, compared data-vs-data by the 117 CCU2 XNOR comparators.
#	Concrete lead: a 10-bit already-decoded mode-flag bundle
#	(R22C41_Q0..Q3,Q6,Q7 / R26C42_Q5 / R28C44_Q6,Q7 / R21C45_Q4, qualifier R14C31_Q0)
#	whose fan-in reaches R27C44_Q0..Q3 - a 4-bit field with NO combinational source,
#	i.e. loaded from a parameter store.
